implementation,operation,sector_bytes,iterations,outer_total_ns,measured_seed_ns,measured_data_ns,measured_evolution_ns,seed_percent,data_percent,evolution_percent
AES-ECB,encrypt,4096,500,6159074,0,3777760,0,0.000000,100.000000,0.000000
AES-ECB,decrypt,4096,500,6240291,0,3860665,0,0.000000,100.000000,0.000000
AES-XTS-manual,encrypt,4096,500,11115230,18545,3915051,2396517,0.292965,61.848043,37.858992
AES-XTS-manual,decrypt,4096,500,11144907,18664,3960638,2389634,0.293047,62.186808,37.520145
Ratchet-CTR-AES,encrypt,4096,500,20898833,18907,12276807,3841322,0.117165,76.078451,23.804384
Ratchet-CTR-AES,decrypt,4096,500,20939081,18633,12317092,3856909,0.115071,76.066019,23.818910
Ratchet-CTR-BLAKE3,encrypt,4096,500,31018294,19098,12701383,13536907,0.072734,48.372607,51.554660
Ratchet-CTR-BLAKE3,decrypt,4096,500,31058181,19506,12704368,13569165,0.074187,48.318371,51.607443
Ratchet-CBC-AES,encrypt,4096,500,20626618,19198,11978533,3876282,0.120940,75.460018,24.419043
Ratchet-CBC-AES,decrypt,4096,500,21488179,18780,12860237,3837011,0.112347,76.933569,22.954083
Ratchet-CBC-BLAKE3,encrypt,4096,500,30901258,19662,12526975,13563776,0.075303,47.976932,51.947765
Ratchet-CBC-BLAKE3,decrypt,4096,500,31734083,19552,13407787,13524217,0.072545,49.747729,50.179726
AES-XTS-literal-indexed,encrypt,4096,500,96534419,21600,3863758,87933177,0.023525,4.208037,95.768438
