implementation,threads,sector_bytes,volume_bytes,trials,mean_ns,mean_mib_s,speedup,efficiency
AES-ECB,1,4096,67108864,3,59754646.000,1071.046425,1.000000,1.000000
AES-ECB,2,4096,67108864,3,29009599.667,2206.166260,2.059823,1.029912
AES-ECB,4,4096,67108864,3,15069230.333,4247.064952,3.965342,0.991335
AES-ECB,8,4096,67108864,3,12763917.667,5014.134506,4.681529,0.585191
AES-XTS-manual-sequential,1,4096,67108864,3,87796327.333,728.959877,1.000000,1.000000
AES-XTS-manual-sequential,2,4096,67108864,3,49688796.333,1288.016710,1.766924,0.883462
AES-XTS-manual-sequential,4,4096,67108864,3,24961360.000,2563.962861,3.517289,0.879322
AES-XTS-manual-sequential,8,4096,67108864,3,14326367.667,4467.287277,6.128303,0.766038
AES-XTS-OpenSSL-full-sector,1,4096,67108864,3,16421474.333,3897.335812,1.000000,1.000000
AES-XTS-OpenSSL-full-sector,2,4096,67108864,3,8796229.667,7275.844586,1.866876,0.933438
AES-XTS-OpenSSL-full-sector,4,4096,67108864,3,6429054.667,9954.807249,2.554260,0.638565
AES-XTS-OpenSSL-full-sector,8,4096,67108864,3,5451970.667,11738.874604,3.012025,0.376503
Ratchet-CTR-AES,1,4096,67108864,3,444363912.667,144.026097,1.000000,1.000000
Ratchet-CTR-AES,2,4096,67108864,3,230509785.667,277.645480,1.927744,0.963872
Ratchet-CTR-AES,4,4096,67108864,3,122918925.333,520.668399,3.615098,0.903774
Ratchet-CTR-AES,8,4096,67108864,3,78604673.333,814.200954,5.653149,0.706644
Ratchet-CTR-BLAKE3,1,4096,67108864,3,765699661.333,83.583686,1.000000,1.000000
Ratchet-CTR-BLAKE3,2,4096,67108864,3,387494644.333,165.163573,1.976026,0.988013
Ratchet-CTR-BLAKE3,4,4096,67108864,3,209296273.667,305.786620,3.658449,0.914612
Ratchet-CTR-BLAKE3,8,4096,67108864,3,135678793.000,471.702309,5.643473,0.705434
Ratchet-CBC-AES,1,4096,67108864,3,469736952.667,136.246467,1.000000,1.000000
Ratchet-CBC-AES,2,4096,67108864,3,231778101.000,276.126173,2.026667,1.013333
Ratchet-CBC-AES,4,4096,67108864,3,121231421.000,527.915944,3.874713,0.968678
Ratchet-CBC-AES,8,4096,67108864,3,85786746.000,746.035990,5.475636,0.684454
Ratchet-CBC-BLAKE3,1,4096,67108864,3,734217963.333,87.167576,1.000000,1.000000
Ratchet-CBC-BLAKE3,2,4096,67108864,3,375746445.333,170.327626,1.954025,0.977013
Ratchet-CBC-BLAKE3,4,4096,67108864,3,214567821.333,298.273989,3.421846,0.855461
Ratchet-CBC-BLAKE3,8,4096,67108864,3,140360522.667,455.968664,5.230943,0.653868
