cache_state,scheme,target_block,samples,mean_ns,median_ns,stdev_ns
warm,AES-ECB,1,1000,107.437,110.000,14.380
warm,AES-ECB,32,1000,107.424,110.000,13.969
warm,AES-ECB,64,1000,107.422,110.000,14.034
warm,AES-ECB,128,1000,107.462,110.000,13.959
warm,AES-ECB,192,1000,108.181,110.000,28.442
warm,AES-ECB,256,1000,107.294,110.000,14.391
cache-thrashed,AES-ECB,1,80,105.338,81.000,103.195
cache-thrashed,AES-ECB,32,80,87.975,81.000,19.835
cache-thrashed,AES-ECB,64,80,105.900,90.000,66.308
cache-thrashed,AES-ECB,128,80,108.275,81.000,74.896
cache-thrashed,AES-ECB,192,80,146.225,90.000,128.940
cache-thrashed,AES-ECB,256,80,106.125,81.000,60.240
warm,AES-XTS-manual,1,1000,56.388,60.000,7.115
warm,AES-XTS-manual,32,1000,191.779,190.000,6.807
warm,AES-XTS-manual,64,1000,353.819,351.000,11.891
warm,AES-XTS-manual,128,1000,670.888,671.000,26.955
warm,AES-XTS-manual,192,1000,1010.486,1012.000,44.576
warm,AES-XTS-manual,256,1000,1327.593,1313.000,252.792
cache-thrashed,AES-XTS-manual,1,80,143.312,140.000,26.695
cache-thrashed,AES-XTS-manual,32,80,237.512,231.000,35.768
cache-thrashed,AES-XTS-manual,64,80,399.012,391.000,22.687
cache-thrashed,AES-XTS-manual,128,80,714.675,712.000,20.004
cache-thrashed,AES-XTS-manual,192,80,1097.975,1062.000,148.490
cache-thrashed,AES-XTS-manual,256,80,1360.412,1362.000,16.486
warm,Ratchet-CTR-AES,1,1000,122.339,120.000,17.272
warm,Ratchet-CTR-AES,32,1000,629.083,621.000,120.447
warm,Ratchet-CTR-AES,64,1000,1155.307,1152.000,166.790
warm,Ratchet-CTR-AES,128,1000,2201.649,2194.000,136.415
warm,Ratchet-CTR-AES,192,1000,3257.711,3246.000,270.795
warm,Ratchet-CTR-AES,256,1000,4307.207,4288.000,356.857
cache-thrashed,Ratchet-CTR-AES,1,80,336.600,310.000,202.171
cache-thrashed,Ratchet-CTR-AES,32,80,827.325,811.000,78.943
cache-thrashed,Ratchet-CTR-AES,64,80,1356.237,1333.000,72.039
cache-thrashed,Ratchet-CTR-AES,128,80,2414.338,2384.000,143.388
cache-thrashed,Ratchet-CTR-AES,192,80,3516.600,3426.500,662.960
cache-thrashed,Ratchet-CTR-AES,256,80,4516.062,4469.000,269.886
warm,Ratchet-CTR-BLAKE3,1,1000,122.945,120.000,6.602
warm,Ratchet-CTR-BLAKE3,32,1000,3099.977,3076.000,309.122
warm,Ratchet-CTR-BLAKE3,64,1000,6148.884,6121.000,347.031
warm,Ratchet-CTR-BLAKE3,128,1000,12249.298,12203.000,428.355
warm,Ratchet-CTR-BLAKE3,192,1000,18336.688,18285.000,465.176
warm,Ratchet-CTR-BLAKE3,256,1000,24487.502,24377.000,687.827
cache-thrashed,Ratchet-CTR-BLAKE3,1,80,348.375,320.000,127.012
cache-thrashed,Ratchet-CTR-BLAKE3,32,80,3429.725,3311.500,621.650
cache-thrashed,Ratchet-CTR-BLAKE3,64,80,6485.775,6362.000,771.587
cache-thrashed,Ratchet-CTR-BLAKE3,128,80,12626.850,12464.000,1112.134
cache-thrashed,Ratchet-CTR-BLAKE3,192,80,18547.963,18585.500,684.305
cache-thrashed,Ratchet-CTR-BLAKE3,256,80,24604.525,24673.000,604.642
warm,Ratchet-CBC-AES,1,1000,123.978,121.000,5.019
warm,Ratchet-CBC-AES,32,1000,632.889,631.000,111.658
warm,Ratchet-CBC-AES,64,1000,1159.667,1152.000,142.853
warm,Ratchet-CBC-AES,128,1000,2213.699,2204.000,237.941
warm,Ratchet-CBC-AES,192,1000,3262.462,3246.000,217.888
warm,Ratchet-CBC-AES,256,1000,4307.670,4298.000,215.854
cache-thrashed,Ratchet-CBC-AES,1,80,374.938,331.000,86.090
cache-thrashed,Ratchet-CBC-AES,32,80,894.062,832.000,284.045
cache-thrashed,Ratchet-CBC-AES,64,80,1414.338,1353.000,209.861
cache-thrashed,Ratchet-CBC-AES,128,80,2454.400,2395.000,186.982
cache-thrashed,Ratchet-CBC-AES,192,80,3535.075,3447.000,250.588
cache-thrashed,Ratchet-CBC-AES,256,80,4735.163,4498.000,1334.547
warm,Ratchet-CBC-BLAKE3,1,1000,132.459,130.000,92.225
warm,Ratchet-CBC-BLAKE3,32,1000,3018.595,2986.000,177.219
warm,Ratchet-CBC-BLAKE3,64,1000,5987.936,5901.000,401.279
warm,Ratchet-CBC-BLAKE3,128,1000,11896.658,11743.000,670.117
warm,Ratchet-CBC-BLAKE3,192,1000,17866.058,17644.000,805.163
warm,Ratchet-CBC-BLAKE3,256,1000,23742.769,23485.000,780.693
cache-thrashed,Ratchet-CBC-BLAKE3,1,80,470.550,421.000,170.170
cache-thrashed,Ratchet-CBC-BLAKE3,32,80,3534.787,3447.000,253.546
cache-thrashed,Ratchet-CBC-BLAKE3,64,80,6765.988,6558.000,993.579
cache-thrashed,Ratchet-CBC-BLAKE3,128,80,12636.925,12609.000,327.300
cache-thrashed,Ratchet-CBC-BLAKE3,192,80,18840.237,18711.000,882.046
cache-thrashed,Ratchet-CBC-BLAKE3,256,80,25027.225,24777.500,1357.657
