implementation,operation,sector_bytes,volume_bytes,trials,mean_ns,median_ns,stdev_ns,mean_mib_s,median_mib_s,mean_ns_per_sector,mean_tsc_cycles_per_byte
AES-ECB,encrypt,512,1048576,5,799366.200,712812.000,191619.345,1250.991098,1402.894452,390.316,2.901250
AES-ECB,decrypt,512,1048576,5,1021027.600,1018056.000,7501.042,979.405454,982.264237,498.549,3.693303
AES-XTS-manual-sequential,encrypt,512,1048576,5,1311693.200,1284415.000,45497.413,762.373396,778.564561,640.475,4.744644
AES-XTS-manual-sequential,decrypt,512,1048576,5,1567203.800,1429282.000,205842.644,638.079106,699.651993,765.236,5.668812
AES-XTS-OpenSSL-full-sector,encrypt,512,1048576,5,868512.400,858071.000,14933.368,1151.394039,1165.404728,424.078,3.141642
AES-XTS-OpenSSL-full-sector,decrypt,512,1048576,5,852565.600,846017.000,14913.935,1172.930271,1182.009345,416.292,3.083912
Ratchet-CTR-AES,encrypt,512,1048576,5,6957779.400,6537025.000,629106.079,143.724016,152.974786,3397.353,25.167013
Ratchet-CTR-AES,decrypt,512,1048576,5,6411790.200,6274924.000,313531.219,155.962683,159.364480,3130.757,23.191845
Ratchet-CTR-BLAKE3,encrypt,512,1048576,5,12092185.800,11829121.000,433906.961,82.698035,84.537135,5904.388,43.738486
Ratchet-CTR-BLAKE3,decrypt,512,1048576,5,11611729.200,11625481.000,84660.495,86.119818,86.017946,5669.790,42.000238
Ratchet-CBC-AES,encrypt,512,1048576,5,6093533.600,6078769.000,75483.817,164.108392,164.506991,2975.358,22.041041
Ratchet-CBC-AES,decrypt,512,1048576,5,6255160.800,6259926.000,17194.815,159.867993,159.746297,3054.278,22.625296
Ratchet-CBC-BLAKE3,encrypt,512,1048576,5,11009069.200,11008527.000,23439.940,90.834201,90.838674,5375.522,39.820403
Ratchet-CBC-BLAKE3,decrypt,512,1048576,5,11531835.000,11444484.000,200870.785,86.716468,87.378339,5630.779,41.711191
AES-ECB,encrypt,512,33554432,5,27111253.600,24383035.000,5577556.332,1180.321665,1312.387896,413.685,3.064488
AES-ECB,decrypt,512,33554432,5,33552450.400,33180227.000,965014.683,953.730640,964.429809,511.970,3.792528
AES-XTS-manual-sequential,encrypt,512,33554432,5,41759457.800,41611469.000,362602.347,766.293474,769.018753,637.199,4.720202
AES-XTS-manual-sequential,decrypt,512,33554432,5,46809370.400,46829437.000,543398.683,683.623807,683.330872,714.254,5.290982
AES-XTS-OpenSSL-full-sector,encrypt,512,33554432,5,28669739.200,29117879.000,732881.850,1116.159438,1098.981145,437.466,3.240633
AES-XTS-OpenSSL-full-sector,decrypt,512,33554432,5,28112163.200,27722490.000,1109106.510,1138.297319,1154.297468,428.958,3.177588
Ratchet-CTR-AES,encrypt,512,33554432,5,212507296.200,212633087.000,2799991.612,150.583065,150.493982,3242.604,24.020180
Ratchet-CTR-AES,decrypt,512,33554432,5,210271152.000,208040198.000,7303962.514,152.184452,153.816427,3208.483,23.767389
Ratchet-CTR-BLAKE3,encrypt,512,33554432,5,381728342.600,379993806.000,4668516.252,83.829248,84.211899,5824.712,43.147554
Ratchet-CTR-BLAKE3,decrypt,512,33554432,5,378879582.400,378748954.000,272667.568,84.459553,84.488682,5781.244,42.825446
Ratchet-CBC-AES,encrypt,512,33554432,5,197420203.600,197299830.000,1113495.009,162.090806,162.189699,3012.393,22.314770
