implementation,operation,sector_bytes,iterations,outer_total_ns,measured_seed_ns,measured_data_ns,measured_evolution_ns,seed_percent,data_percent,evolution_percent
AES-ECB,encrypt,4096,500,8425814,0,5149624,0,0.000000,100.000000,0.000000
AES-ECB,decrypt,4096,500,8187836,0,4953024,0,0.000000,100.000000,0.000000
AES-XTS-manual,encrypt,4096,500,14865606,23186,4849738,3791302,0.267606,55.974279,43.758115
AES-XTS-manual,decrypt,4096,500,14897724,23682,4944564,3770652,0.270995,56.581093,43.147912
Ratchet-CTR-AES,encrypt,4096,500,28647990,23602,15615960,6520906,0.106505,70.467645,29.425850
Ratchet-CTR-AES,decrypt,4096,500,28237801,23738,15625638,6473492,0.107301,70.631159,29.261541
Ratchet-CTR-BLAKE3,encrypt,4096,500,40328627,23525,15653276,18454352,0.068925,45.862137,54.068938
Ratchet-CTR-BLAKE3,decrypt,4096,500,41058397,24326,16217929,18476570,0.070066,46.712206,53.217728
Ratchet-CBC-AES,encrypt,4096,500,26255496,23226,15290679,4762438,0.115688,76.162671,23.721641
Ratchet-CBC-AES,decrypt,4096,500,27399218,23409,16400303,4802091,0.110286,77.265878,22.623837
Ratchet-CBC-BLAKE3,encrypt,4096,500,40628990,23956,16821268,17612985,0.069522,48.816432,51.114047
Ratchet-CBC-BLAKE3,decrypt,4096,500,44172509,25697,19283177,18616837,0.067756,50.844602,49.087641
AES-XTS-literal-indexed,encrypt,4096,500,79317576,24265,5033371,68118971,0.033160,6.878388,93.088452
