implementation,threads,sector_bytes,volume_bytes,trials,mean_ns,mean_mib_s,speedup,efficiency
AES-ECB,1,4096,67108864,3,67094885.667,953.873002,1.000000,1.000000
AES-ECB,2,4096,67108864,3,31267351.667,2046.863472,2.145845,1.072922
AES-ECB,4,4096,67108864,3,21294091.000,3005.528623,3.150869,0.787717
AES-ECB,8,4096,67108864,3,18453870.000,3468.107232,3.635817,0.454477
AES-XTS-manual-sequential,1,4096,67108864,3,185253409.000,345.472725,1.000000,1.000000
AES-XTS-manual-sequential,2,4096,67108864,3,90448729.667,707.583183,2.048159,1.024080
AES-XTS-manual-sequential,4,4096,67108864,3,47965696.333,1334.286894,3.862206,0.965552
AES-XTS-manual-sequential,8,4096,67108864,3,30593964.667,2091.915863,6.055227,0.756903
AES-XTS-OpenSSL-full-sector,1,4096,67108864,3,20044140.667,3192.953046,1.000000,1.000000
AES-XTS-OpenSSL-full-sector,2,4096,67108864,3,16940108.000,3778.016055,1.183236,0.591618
AES-XTS-OpenSSL-full-sector,4,4096,67108864,3,9022053.333,7093.728848,2.221683,0.555421
AES-XTS-OpenSSL-full-sector,8,4096,67108864,3,8420656.333,7600.357676,2.380354,0.297544
Ratchet-CTR-AES,1,4096,67108864,3,591086574.000,108.275171,1.000000,1.000000
Ratchet-CTR-AES,2,4096,67108864,3,301969250.333,211.942110,1.957440,0.978720
Ratchet-CTR-AES,4,4096,67108864,3,170288061.000,375.833747,3.471098,0.867775
Ratchet-CTR-AES,8,4096,67108864,3,106693767.333,599.847597,5.540029,0.692504
Ratchet-CTR-BLAKE3,1,4096,67108864,3,1011977229.000,63.242530,1.000000,1.000000
Ratchet-CTR-BLAKE3,2,4096,67108864,3,504947537.667,126.745840,2.004124,1.002062
Ratchet-CTR-BLAKE3,4,4096,67108864,3,291588447.667,219.487433,3.470567,0.867642
Ratchet-CTR-BLAKE3,8,4096,67108864,3,197698742.000,323.724872,5.118784,0.639848
Ratchet-CBC-AES,1,4096,67108864,3,505136755.667,126.698363,1.000000,1.000000
Ratchet-CBC-AES,2,4096,67108864,3,308299234.000,207.590526,1.638463,0.819231
Ratchet-CBC-AES,4,4096,67108864,3,166768287.667,383.766008,3.028974,0.757243
Ratchet-CBC-AES,8,4096,67108864,3,98839515.667,647.514302,5.110676,0.638835
Ratchet-CBC-BLAKE3,1,4096,67108864,3,960251583.000,66.649200,1.000000,1.000000
Ratchet-CBC-BLAKE3,2,4096,67108864,3,482573079.333,132.622400,1.989857,0.994929
Ratchet-CBC-BLAKE3,4,4096,67108864,3,270063229.667,236.981540,3.555655,0.888914
Ratchet-CBC-BLAKE3,8,4096,67108864,3,157887407.000,405.352151,6.081876,0.760234
