cache_state,scheme,target_block,samples,mean_ns,median_ns,stdev_ns
warm,AES-ECB,1,1000,39.561,40.000,2.382
warm,AES-ECB,32,1000,39.554,40.000,2.285
warm,AES-ECB,64,1000,58.620,40.000,602.400
warm,AES-ECB,128,1000,40.527,40.000,2.141
warm,AES-ECB,192,1000,40.057,40.000,16.625
warm,AES-ECB,256,1000,39.526,40.000,2.397
cache-thrashed,AES-ECB,1,80,150.838,101.000,136.046
cache-thrashed,AES-ECB,32,80,127.500,105.500,54.012
cache-thrashed,AES-ECB,64,80,155.225,110.000,237.089
cache-thrashed,AES-ECB,128,80,147.825,100.000,194.741
cache-thrashed,AES-ECB,192,80,146.075,110.000,197.643
cache-thrashed,AES-ECB,256,80,127.912,105.500,79.948
warm,AES-XTS-manual,1,1000,74.447,70.000,7.707
warm,AES-XTS-manual,32,1000,203.957,201.000,5.795
warm,AES-XTS-manual,64,1000,325.260,321.000,5.594
warm,AES-XTS-manual,128,1000,567.931,571.000,5.529
warm,AES-XTS-manual,192,1000,810.518,811.000,6.115
warm,AES-XTS-manual,256,1000,1089.366,1051.000,728.899
cache-thrashed,AES-XTS-manual,1,80,200.650,190.000,51.177
cache-thrashed,AES-XTS-manual,32,80,334.075,301.000,138.794
cache-thrashed,AES-XTS-manual,64,80,447.800,430.000,76.220
cache-thrashed,AES-XTS-manual,128,80,679.050,651.000,79.187
cache-thrashed,AES-XTS-manual,192,80,920.087,901.000,62.397
cache-thrashed,AES-XTS-manual,256,80,1160.075,1122.000,147.179
warm,Ratchet-CTR-AES,1,1000,147.300,141.000,14.220
warm,Ratchet-CTR-AES,32,1000,803.367,781.000,461.086
warm,Ratchet-CTR-AES,64,1000,1488.752,1442.000,785.820
warm,Ratchet-CTR-AES,128,1000,2888.215,2754.000,2210.193
warm,Ratchet-CTR-AES,192,1000,4169.472,4076.000,1387.205
warm,Ratchet-CTR-AES,256,1000,5593.599,5388.000,2692.318
cache-thrashed,Ratchet-CTR-AES,1,80,484.913,371.000,370.496
cache-thrashed,Ratchet-CTR-AES,32,80,1057.900,1012.000,172.072
cache-thrashed,Ratchet-CTR-AES,64,80,1731.838,1663.000,297.913
cache-thrashed,Ratchet-CTR-AES,128,80,3053.800,2984.000,200.765
cache-thrashed,Ratchet-CTR-AES,192,80,4638.625,4306.000,2259.658
cache-thrashed,Ratchet-CTR-AES,256,80,5829.613,5609.000,1513.454
warm,Ratchet-CTR-BLAKE3,1,1000,156.785,150.000,19.909
warm,Ratchet-CTR-BLAKE3,32,1000,3904.426,3695.000,2842.332
warm,Ratchet-CTR-BLAKE3,64,1000,7604.339,7331.000,2593.940
warm,Ratchet-CTR-BLAKE3,128,1000,15053.326,14622.000,4333.480
warm,Ratchet-CTR-BLAKE3,192,1000,22765.202,21883.000,6213.083
warm,Ratchet-CTR-BLAKE3,256,1000,30157.509,29164.000,4088.333
cache-thrashed,Ratchet-CTR-BLAKE3,1,80,426.800,381.000,116.624
cache-thrashed,Ratchet-CTR-BLAKE3,32,80,4258.637,3936.000,1923.709
cache-thrashed,Ratchet-CTR-BLAKE3,64,80,7852.262,7586.500,1591.751
cache-thrashed,Ratchet-CTR-BLAKE3,128,80,15247.938,14948.000,1638.159
cache-thrashed,Ratchet-CTR-BLAKE3,192,80,22600.638,22223.500,1914.879
cache-thrashed,Ratchet-CTR-BLAKE3,256,80,30388.700,29544.500,3228.394
warm,Ratchet-CBC-AES,1,1000,166.790,150.000,376.194
warm,Ratchet-CBC-AES,32,1000,816.044,791.000,539.267
warm,Ratchet-CBC-AES,64,1000,1470.425,1443.000,677.320
warm,Ratchet-CBC-AES,128,1000,2808.459,2764.000,686.182
warm,Ratchet-CBC-AES,192,1000,4146.228,4077.000,889.234
warm,Ratchet-CBC-AES,256,1000,5495.289,5398.000,1150.905
cache-thrashed,Ratchet-CBC-AES,1,80,496.775,391.000,272.679
cache-thrashed,Ratchet-CBC-AES,32,80,1432.550,1026.500,2713.234
cache-thrashed,Ratchet-CBC-AES,64,80,4241.262,1683.000,19974.926
cache-thrashed,Ratchet-CBC-AES,128,80,17312.200,3009.500,110652.487
cache-thrashed,Ratchet-CBC-AES,192,80,4425.050,4316.500,262.755
cache-thrashed,Ratchet-CBC-AES,256,80,5916.675,5648.000,1503.012
warm,Ratchet-CBC-BLAKE3,1,1000,163.637,160.000,23.143
warm,Ratchet-CBC-BLAKE3,32,1000,3885.123,3706.000,1515.073
warm,Ratchet-CBC-BLAKE3,64,1000,8979.415,7331.000,29719.696
warm,Ratchet-CBC-BLAKE3,128,1000,15682.457,14642.000,6827.894
warm,Ratchet-CBC-BLAKE3,192,1000,23224.293,21893.000,7106.329
warm,Ratchet-CBC-BLAKE3,256,1000,32206.040,29174.000,37288.255
cache-thrashed,Ratchet-CBC-BLAKE3,1,80,491.512,401.000,234.595
cache-thrashed,Ratchet-CBC-BLAKE3,32,80,4421.188,3986.000,2051.615
cache-thrashed,Ratchet-CBC-BLAKE3,64,80,7945.775,7637.000,1540.997
cache-thrashed,Ratchet-CBC-BLAKE3,128,80,16273.438,14928.000,6890.344
cache-thrashed,Ratchet-CBC-BLAKE3,192,80,24938.925,22248.500,11981.261
cache-thrashed,Ratchet-CBC-BLAKE3,256,80,30733.412,29664.500,3953.569
