implementation,operation,sector_bytes,volume_bytes,trials,mean_ns,median_ns,stdev_ns,mean_mib_s,median_mib_s,mean_ns_per_sector,mean_tsc_cycles_per_byte
AES-ECB,encrypt,512,1048576,5,910137.200,847267.000,125584.055,1098.735443,1180.265489,444.403,2.257008
AES-ECB,decrypt,512,1048576,5,1209349.800,1202131.000,23646.205,826.890615,831.856096,590.503,2.994289
AES-XTS-manual-sequential,encrypt,512,1048576,5,2962555.600,2934441.000,188550.874,337.546408,340.780408,1446.560,7.334950
AES-XTS-manual-sequential,decrypt,512,1048576,5,2631376.200,2639987.000,80612.856,380.029279,378.789744,1284.852,6.514962
AES-XTS-OpenSSL-full-sector,encrypt,512,1048576,5,1191739.400,1196423.000,12185.410,839.109624,835.824788,581.904,2.950693
AES-XTS-OpenSSL-full-sector,decrypt,512,1048576,5,1154537.600,1162502.000,13984.696,866.147625,860.213574,563.739,2.858578
Ratchet-CTR-AES,encrypt,512,1048576,5,8705031.200,8560588.000,529118.846,114.876096,116.814406,4250.504,21.552237
Ratchet-CTR-AES,decrypt,512,1048576,5,8489780.600,8433556.000,200235.206,117.788674,118.573944,4145.401,21.019346
Ratchet-CTR-BLAKE3,encrypt,512,1048576,5,15241264.200,15249124.000,181682.102,65.611355,65.577537,7442.024,37.735220
Ratchet-CTR-BLAKE3,decrypt,512,1048576,5,15292181.000,15188903.000,230516.872,65.392896,65.837539,7466.885,37.860943
Ratchet-CBC-AES,encrypt,512,1048576,5,7681278.600,7658278.000,191413.087,130.186659,130.577657,3750.624,19.017876
Ratchet-CBC-AES,decrypt,512,1048576,5,8156198.200,8144621.000,399982.182,122.606143,122.780422,3982.519,20.193402
Ratchet-CBC-BLAKE3,encrypt,512,1048576,5,14118552.800,14085491.000,119430.558,70.828789,70.995040,6893.825,34.955546
Ratchet-CBC-BLAKE3,decrypt,512,1048576,5,15025066.800,15031767.000,224487.374,66.555445,66.525778,7336.458,37.199527
AES-ECB,encrypt,512,33554432,5,50291338.400,31973200.000,39779738.312,636.292471,1000.838202,767.385,3.891062
AES-ECB,decrypt,512,33554432,5,38465328.000,38314004.000,872084.960,831.918033,835.203755,586.934,2.976050
AES-XTS-manual-sequential,encrypt,512,33554432,5,89460847.000,89674193.000,1799367.661,357.698379,356.847371,1365.064,6.921560
AES-XTS-manual-sequential,decrypt,512,33554432,5,86460933.400,86972653.000,2226252.651,370.109352,367.931745,1319.289,6.689437
AES-XTS-OpenSSL-full-sector,encrypt,512,33554432,5,38627512.200,38605172.000,391158.471,828.425083,828.904479,589.409,2.988599
AES-XTS-OpenSSL-full-sector,decrypt,512,33554432,5,37718929.000,37589742.000,590287.613,848.380398,851.296080,575.545,2.918292
Ratchet-CTR-AES,encrypt,512,33554432,5,288878131.800,290258343.000,8711252.379,110.773356,110.246616,4407.930,22.350336
Ratchet-CTR-AES,decrypt,512,33554432,5,283277221.400,282837012.000,7535438.156,112.963548,113.139365,4322.467,21.916964
Ratchet-CTR-BLAKE3,encrypt,512,33554432,5,506240564.800,504886953.000,4213057.398,63.211055,63.380525,7724.618,39.167511
Ratchet-CTR-BLAKE3,decrypt,512,33554432,5,520252411.000,521719248.000,9845701.129,61.508605,61.335671,7938.422,40.251572
Ratchet-CBC-AES,encrypt,512,33554432,5,253113553.400,252612625.000,1825986.441,126.425470,126.676171,3862.206,19.583263
Ratchet-CBC-AES,decrypt,512,33554432,5,266616762.400,262785710.000,16867654.180,120.022461,121.772223,4068.249,20.627962
Ratchet-CBC-BLAKE3,encrypt,512,33554432,5,490121483.800,484032025.000,16157834.042,65.289935,66.111328,7478.660,37.920401
Ratchet-CBC-BLAKE3,decrypt,512,33554432,5,512032269.400,501832340.000,22877237.398,62.496061,63.766317,7812.992,39.615583
AES-ECB,encrypt,4096,1048576,5,868634.800,828378.000,104152.368,1151.231795,1207.178365,3393.105,2.150849
AES-ECB,decrypt,4096,1048576,5,1179142.400,1173638.000,13462.277,848.073990,852.051484,4606.025,2.919481
AES-XTS-manual-sequential,encrypt,4096,1048576,5,2634577.000,2634589.000,12844.738,379.567574,379.565845,10291.316,6.522891
AES-XTS-manual-sequential,decrypt,4096,1048576,5,2570933.000,2568049.000,69051.076,388.963851,389.400670,10042.707,6.365385
AES-XTS-OpenSSL-full-sector,encrypt,4096,1048576,5,285370.000,281694.000,7779.317,3504.222588,3549.951366,1114.727,0.706777
AES-XTS-OpenSSL-full-sector,decrypt,4096,1048576,5,283713.600,277418.000,9485.565,3524.681228,3604.668767,1108.256,0.702567
Ratchet-CTR-AES,encrypt,4096,1048576,5,8333999.400,8272172.000,186687.540,119.990409,120.887235,32554.685,20.633637
Ratchet-CTR-AES,decrypt,4096,1048576,5,9018615.000,9091737.000,428524.164,110.881771,109.989983,35228.965,22.328600
Ratchet-CTR-BLAKE3,encrypt,4096,1048576,5,16548873.000,16816624.000,1438427.387,60.427076,59.464968,64644.035,40.972708
Ratchet-CTR-BLAKE3,decrypt,4096,1048576,5,15747266.000,15541393.000,434617.106,63.503087,64.344297,61512.758,38.987498
Ratchet-CBC-AES,encrypt,4096,1048576,5,7856381.800,7749534.000,269233.208,127.285056,129.040017,30688.991,19.451262
Ratchet-CBC-AES,decrypt,4096,1048576,5,8234496.400,8151961.000,230945.806,121.440335,122.669870,32166.002,20.387390
