implementation,operation,sector_bytes,iterations,outer_total_ns,measured_seed_ns,measured_data_ns,measured_evolution_ns,seed_percent,data_percent,evolution_percent
AES-ECB,encrypt,4096,500,8891393,0,5305925,0,0.000000,100.000000,0.000000
AES-ECB,decrypt,4096,500,8092496,0,5009090,0,0.000000,100.000000,0.000000
AES-XTS-manual,encrypt,4096,500,16194026,23300,5477087,4327249,0.237087,55.731480,44.031433
AES-XTS-manual,decrypt,4096,500,15925297,23860,5376286,4037761,0.252810,56.964812,42.782377
Ratchet-CTR-AES,encrypt,4096,500,29311094,24325,16240886,6746358,0.105708,70.577048,29.317245
Ratchet-CTR-AES,decrypt,4096,500,30733816,24000,17493956,7033321,0.097755,71.254770,28.647475
Ratchet-CTR-BLAKE3,encrypt,4096,500,42443274,28311,17454373,18584605,0.078495,48.393914,51.527591
Ratchet-CTR-BLAKE3,decrypt,4096,500,43921018,29651,17775029,18616036,0.081412,48.804721,51.113866
Ratchet-CTR-BLAKE2s-256,encrypt,4096,500,77999412,32351,17610297,54184206,0.045040,24.517706,75.437254
Ratchet-CTR-BLAKE2s-256,decrypt,4096,500,77505348,30932,17630458,53424322,0.043514,24.801690,75.154796
Ratchet-CTR-SHA3-256,encrypt,4096,500,102870323,31529,17301913,79302379,0.032627,17.904244,82.063130
Ratchet-CTR-SHA3-256,decrypt,4096,500,106362373,46608,17735086,82410887,0.046518,17.700997,82.252484
Ratchet-CTR-SHA-256,encrypt,4096,500,68559887,30052,19239484,42990967,0.048268,30.901588,69.050144
Ratchet-CTR-SHA-256,decrypt,4096,500,66510193,31515,18890279,40917639,0.052666,31.568279,68.379055
Ratchet-CBC-AES,encrypt,4096,500,28022041,23627,16166780,5076909,0.111095,76.017021,23.871884
Ratchet-CBC-AES,decrypt,4096,500,28309479,23767,17020830,4784993,0.108875,77.971368,21.919757
Ratchet-CBC-BLAKE3,encrypt,4096,500,41814102,27100,16635894,18798947,0.076420,46.911967,53.011613
Ratchet-CBC-BLAKE3,decrypt,4096,500,41592703,29315,17213792,18209164,0.082689,48.554836,51.362475
Ratchet-CBC-BLAKE2s-256,encrypt,4096,500,76850455,30290,17449075,52927071,0.043022,24.783352,75.173626
Ratchet-CBC-BLAKE2s-256,decrypt,4096,500,82065052,39429,19137098,56323049,0.052224,25.347292,74.600484
Ratchet-CBC-SHA3-256,encrypt,4096,500,105331468,31195,17573699,81434941,0.031497,17.744071,82.224431
Ratchet-CBC-SHA3-256,decrypt,4096,500,109993335,44454,19399492,84361141,0.042824,18.688383,81.268793
Ratchet-CBC-SHA-256,encrypt,4096,500,61867666,29654,17273819,38230461,0.053398,31.104980,68.841622
Ratchet-CBC-SHA-256,decrypt,4096,500,62616939,35717,19097691,37302688,0.063288,33.839497,66.097216
AES-XTS-literal-indexed,encrypt,4096,500,80262704,23951,5244411,68378643,0.032521,7.121011,92.846468
