implementation,threads,sector_bytes,volume_bytes,trials,mean_ns,stdev_ns,mean_mib_s,speedup,efficiency
AES-ECB,1,4096,67108864,5,66574154.800,5613743.177,961.334022,1.000000,1.000000
AES-ECB,2,4096,67108864,5,39483304.200,9237423.123,1620.938300,1.686134,0.843067
AES-ECB,3,4096,67108864,5,35088824.200,7109559.781,1823.942565,1.897304,0.632435
AES-ECB,4,4096,67108864,5,27595036.000,6356854.770,2319.257710,2.412541,0.603135
AES-ECB,5,4096,67108864,5,20130875.600,3090377.931,3179.196041,3.307067,0.661413
AES-ECB,6,4096,67108864,5,18502542.000,1818454.311,3458.984176,3.598109,0.599685
AES-ECB,7,4096,67108864,5,18643379.400,3594504.002,3432.854024,3.570927,0.510132
AES-ECB,8,4096,67108864,5,17116982.400,2325696.482,3738.976795,3.889363,0.486170
AES-ECB,9,4096,67108864,5,18801178.200,3955236.020,3404.041987,3.540957,0.393440
AES-XTS-manual-sequential,1,4096,67108864,5,188080925.600,12408601.248,340.279057,1.000000,1.000000
AES-XTS-manual-sequential,2,4096,67108864,5,98830017.800,3350207.642,647.576530,1.903075,0.951537
AES-XTS-manual-sequential,3,4096,67108864,5,67897965.800,1520905.497,942.590831,2.770052,0.923351
AES-XTS-manual-sequential,4,4096,67108864,5,50761761.200,1136783.565,1260.791558,3.705169,0.926292
AES-XTS-manual-sequential,5,4096,67108864,5,43535212.800,4690552.822,1470.074358,4.320202,0.864040
AES-XTS-manual-sequential,6,4096,67108864,5,37843303.400,7814648.002,1691.184285,4.969992,0.828332
AES-XTS-manual-sequential,7,4096,67108864,5,31577430.200,3931816.537,2026.764040,5.956182,0.850883
AES-XTS-manual-sequential,8,4096,67108864,5,36024810.200,7357579.182,1776.553427,5.220872,0.652609
AES-XTS-manual-sequential,9,4096,67108864,5,34493191.000,1830047.093,1855.438657,5.452697,0.605855
AES-XTS-OpenSSL-full-sector,1,4096,67108864,5,22121761.600,1741795.171,2893.078822,1.000000,1.000000
AES-XTS-OpenSSL-full-sector,2,4096,67108864,5,14672989.600,2426813.021,4361.755971,1.507652,0.753826
AES-XTS-OpenSSL-full-sector,3,4096,67108864,5,12023071.800,1445091.386,5323.098877,1.839943,0.613314
AES-XTS-OpenSSL-full-sector,4,4096,67108864,5,11043147.000,1169887.641,5795.449431,2.003212,0.500803
AES-XTS-OpenSSL-full-sector,5,4096,67108864,5,9395650.600,1446139.386,6811.662409,2.354468,0.470894
AES-XTS-OpenSSL-full-sector,6,4096,67108864,5,9434487.200,1292611.309,6783.622538,2.344776,0.390796
AES-XTS-OpenSSL-full-sector,7,4096,67108864,5,9253794.800,1116326.299,6916.081606,2.390561,0.341509
AES-XTS-OpenSSL-full-sector,8,4096,67108864,5,9286829.600,659996.069,6891.479951,2.382057,0.297757
AES-XTS-OpenSSL-full-sector,9,4096,67108864,5,8802831.200,371560.780,7270.388191,2.513028,0.279225
Ratchet-CTR-AES,1,4096,67108864,5,577359070.400,16149903.204,110.849562,1.000000,1.000000
Ratchet-CTR-AES,2,4096,67108864,5,304591165.200,30154537.277,210.117716,1.895521,0.947761
Ratchet-CTR-AES,3,4096,67108864,5,224259899.200,23672949.263,285.383166,2.574509,0.858170
Ratchet-CTR-AES,4,4096,67108864,5,199592483.600,12567803.965,320.653358,2.892689,0.723172
Ratchet-CTR-AES,5,4096,67108864,5,161464952.800,20393678.159,396.370846,3.575755,0.715151
Ratchet-CTR-AES,6,4096,67108864,5,142695000.800,7756264.323,448.509055,4.046106,0.674351
Ratchet-CTR-AES,7,4096,67108864,5,126809576.800,1959213.806,504.693743,4.552961,0.650423
Ratchet-CTR-AES,8,4096,67108864,5,108876773.400,7088898.290,587.820506,5.302867,0.662858
Ratchet-CTR-AES,9,4096,67108864,5,84875990.800,6396903.690,754.041271,6.802384,0.755820
Ratchet-CTR-BLAKE3,1,4096,67108864,5,1014116101.800,27351248.023,63.109145,1.000000,1.000000
Ratchet-CTR-BLAKE3,2,4096,67108864,5,534121887.600,18571892.838,119.822837,1.898660,0.949330
Ratchet-CTR-BLAKE3,3,4096,67108864,5,411373449.200,9984500.435,155.576399,2.465196,0.821732
Ratchet-CTR-BLAKE3,4,4096,67108864,5,360247722.400,18130657.306,177.655530,2.815052,0.703763
Ratchet-CTR-BLAKE3,5,4096,67108864,5,247609914.800,40039601.057,258.471072,4.095620,0.819124
Ratchet-CTR-BLAKE3,6,4096,67108864,5,237705568.400,13608615.215,269.240643,4.266270,0.711045
Ratchet-CTR-BLAKE3,7,4096,67108864,5,197405996.800,21883745.744,324.204943,5.137210,0.733887
Ratchet-CTR-BLAKE3,8,4096,67108864,5,172331615.600,17918569.185,371.377009,5.884678,0.735585
Ratchet-CTR-BLAKE3,9,4096,67108864,5,175211210.800,5430094.324,365.273430,5.787964,0.643107
Ratchet-CTR-BLAKE2s-256,1,4096,67108864,5,2284522115.600,49422064.843,28.014612,1.000000,1.000000
Ratchet-CTR-BLAKE2s-256,2,4096,67108864,5,1770202834.000,110598368.214,36.154049,1.290543,0.645271
Ratchet-CTR-BLAKE2s-256,3,4096,67108864,5,1787000029.600,316214294.645,35.814213,1.278412,0.426137
Ratchet-CTR-BLAKE2s-256,4,4096,67108864,5,1292017259.400,273755031.601,49.534942,1.768182,0.442046
Ratchet-CTR-BLAKE2s-256,5,4096,67108864,5,1096440343.800,111042688.565,58.370709,2.083581,0.416716
Ratchet-CTR-BLAKE2s-256,6,4096,67108864,5,1167234238.400,189888518.536,54.830468,1.957210,0.326202
Ratchet-CTR-BLAKE2s-256,7,4096,67108864,5,1353896703.600,58947677.697,47.270962,1.687368,0.241053
Ratchet-CTR-BLAKE2s-256,8,4096,67108864,5,1144566573.800,125502034.169,55.916363,1.995971,0.249496
Ratchet-CTR-BLAKE2s-256,9,4096,67108864,5,1411448201.800,75698238.244,45.343499,1.618566,0.179841
Ratchet-CTR-SHA3-256,1,4096,67108864,5,3136431593.600,69773590.428,20.405355,1.000000,1.000000
Ratchet-CTR-SHA3-256,2,4096,67108864,5,2645324969.000,222638912.439,24.193625,1.185651,0.592825
Ratchet-CTR-SHA3-256,3,4096,67108864,5,2241370193.600,157439272.286,28.553962,1.399337,0.466446
Ratchet-CTR-SHA3-256,4,4096,67108864,5,1848004123.000,257385097.347,34.631957,1.697199,0.424300
Ratchet-CTR-SHA3-256,5,4096,67108864,5,1407102845.000,176248982.566,45.483527,2.229000,0.445800
Ratchet-CTR-SHA3-256,6,4096,67108864,5,1194923345.400,169172783.899,53.559921,2.624797,0.437466
Ratchet-CTR-SHA3-256,7,4096,67108864,5,1334088985.400,187064851.281,47.972812,2.350991,0.335856
Ratchet-CTR-SHA3-256,8,4096,67108864,5,1260120601.400,130639220.951,50.788790,2.488993,0.311124
Ratchet-CTR-SHA3-256,9,4096,67108864,5,1443695869.800,212272349.775,44.330666,2.172502,0.241389
Ratchet-CTR-SHA-256,1,4096,67108864,5,1628396540.400,34643896.237,39.302466,1.000000,1.000000
Ratchet-CTR-SHA-256,2,4096,67108864,5,1255108777.600,92719596.511,50.991596,1.297415,0.648707
Ratchet-CTR-SHA-256,3,4096,67108864,5,1095551773.000,157810673.641,58.418052,1.486371,0.495457
Ratchet-CTR-SHA-256,4,4096,67108864,5,972584790.400,94656850.791,65.804031,1.674298,0.418574
Ratchet-CTR-SHA-256,5,4096,67108864,5,908155893.000,12553201.497,70.472482,1.793080,0.358616
Ratchet-CTR-SHA-256,6,4096,67108864,5,958933698.600,110767823.141,66.740798,1.698133,0.283022
