cache_state,scheme,target_block,samples,mean_ns,median_ns,stdev_ns
warm,AES-ECB,1,1000,39.890,40.000,4.059
warm,AES-ECB,32,1000,40.121,40.000,3.809
warm,AES-ECB,64,1000,39.992,40.000,3.853
warm,AES-ECB,128,1000,40.175,40.000,4.676
warm,AES-ECB,192,1000,59.543,40.000,592.113
warm,AES-ECB,256,1000,40.053,40.000,3.826
cache-thrashed,AES-ECB,1,80,179.262,100.000,254.579
cache-thrashed,AES-ECB,32,80,142.463,100.000,133.686
cache-thrashed,AES-ECB,64,80,133.725,100.000,82.103
cache-thrashed,AES-ECB,128,80,138.300,100.000,102.613
cache-thrashed,AES-ECB,192,80,170.838,100.000,265.990
cache-thrashed,AES-ECB,256,80,138.037,100.000,88.946
warm,AES-XTS-manual,1,1000,73.315,70.000,7.212
warm,AES-XTS-manual,32,1000,210.684,200.000,244.455
warm,AES-XTS-manual,64,1000,544.413,321.000,6140.112
warm,AES-XTS-manual,128,1000,612.045,561.000,796.238
warm,AES-XTS-manual,192,1000,824.777,811.000,119.160
warm,AES-XTS-manual,256,1000,1131.657,1051.000,1162.631
cache-thrashed,AES-XTS-manual,1,80,237.363,190.000,96.924
cache-thrashed,AES-XTS-manual,32,80,363.750,300.000,181.289
cache-thrashed,AES-XTS-manual,64,80,652.075,420.000,1539.598
cache-thrashed,AES-XTS-manual,128,80,758.612,661.000,223.736
cache-thrashed,AES-XTS-manual,192,80,1684.625,901.000,6530.729
cache-thrashed,AES-XTS-manual,256,80,1239.713,1132.000,240.760
warm,Ratchet-CTR-AES,1,1000,146.956,140.000,15.669
warm,Ratchet-CTR-AES,32,1000,798.988,781.000,423.513
warm,Ratchet-CTR-AES,64,1000,1715.073,1442.000,6838.349
warm,Ratchet-CTR-AES,128,1000,2889.042,2754.000,2101.484
warm,Ratchet-CTR-AES,192,1000,4228.798,4076.000,2434.493
warm,Ratchet-CTR-AES,256,1000,6601.157,5388.000,26577.228
cache-thrashed,Ratchet-CTR-AES,1,80,464.975,370.000,216.121
cache-thrashed,Ratchet-CTR-AES,32,80,1110.025,1012.000,244.252
