implementation,operation,sector_bytes,volume_bytes,trials,mean_ns,median_ns,stdev_ns,mean_mib_s,median_mib_s,mean_ns_per_sector,mean_ns_per_byte,median_ns_per_byte,mean_tsc_cycles_per_byte
AES-ECB,encrypt,512,1048576,5,994797.200,968318.000,145315.536,1005.230011,1032.718590,485.741,0.948712540,0.923460007,2.466010
AES-ECB,decrypt,512,1048576,5,1208058.000,1193522.000,25094.509,827.774825,837.856361,589.872,1.152093887,1.138231277,2.991150
AES-XTS-manual-sequential,encrypt,512,1048576,5,2692019.000,2671636.000,125753.080,371.468403,374.302487,1314.462,2.567309380,2.547870636,6.665356
AES-XTS-manual-sequential,decrypt,512,1048576,5,2697407.400,2644387.000,149451.443,370.726350,378.159475,1317.093,2.572448158,2.521883965,6.678592
AES-XTS-OpenSSL-full-sector,encrypt,512,1048576,5,1203380.600,1212420.000,36811.897,830.992290,824.796688,587.588,1.147633171,1.156253815,2.979620
AES-XTS-OpenSSL-full-sector,decrypt,512,1048576,5,1223350.400,1175045.000,104245.343,817.427288,851.031237,597.339,1.166677856,1.120610237,3.029017
Ratchet-CTR-AES,encrypt,512,1048576,5,8595136.400,8650465.000,269503.232,116.344867,115.600722,4196.844,8.196960831,8.249726295,21.280691
Ratchet-CTR-AES,decrypt,512,1048576,5,8561348.200,8542463.000,237713.560,116.804033,117.062257,4180.346,8.164737892,8.146727562,21.196942
Ratchet-CTR-BLAKE3,encrypt,512,1048576,5,16696894.000,17056225.000,677116.518,59.891379,58.629621,8152.780,15.923398972,16.266083717,41.339811
Ratchet-CTR-BLAKE3,decrypt,512,1048576,5,16587383.200,16652967.000,710872.381,60.286785,60.049359,8099.308,15.818961334,15.881506920,41.068364
Ratchet-CTR-BLAKE2s-256,encrypt,512,1048576,5,36862037.800,36175795.000,2252254.459,27.128180,27.642793,17999.042,35.154378700,34.499926567,91.266810
Ratchet-CTR-BLAKE2s-256,decrypt,512,1048576,5,34778038.200,34751759.000,604888.628,28.753778,28.775522,16981.464,33.166921806,33.141860008,86.106106
Ratchet-CTR-SHA3-256,encrypt,512,1048576,5,48661374.400,48415968.000,1087821.312,20.550180,20.654343,23760.437,46.407102966,46.173065186,120.480053
Ratchet-CTR-SHA3-256,decrypt,512,1048576,5,48496677.800,48463008.000,790378.269,20.619969,20.634295,23680.018,46.250036049,46.217926025,120.071720
Ratchet-CTR-SHA-256,encrypt,512,1048576,5,24871571.000,24857758.000,195117.051,40.206547,40.228890,12144.322,23.719378471,23.706205368,61.579456
Ratchet-CTR-SHA-256,decrypt,512,1048576,5,25979906.800,26313260.000,766854.543,38.491285,38.003653,12685.501,24.776369858,25.094280243,64.323122
Ratchet-CBC-AES,encrypt,512,1048576,5,8108874.000,7943234.000,526538.935,123.321684,125.893307,3959.411,7.733224869,7.575258255,20.076804
Ratchet-CBC-AES,decrypt,512,1048576,5,8025700.800,8026037.000,176784.320,124.599711,124.594492,3918.799,7.653904724,7.654225349,19.870758
Ratchet-CBC-BLAKE3,encrypt,512,1048576,5,15330086.000,15409891.000,313986.855,65.231206,64.893386,7485.394,14.619909286,14.696017265,37.955949
Ratchet-CBC-BLAKE3,decrypt,512,1048576,5,15280144.000,15417462.000,375105.867,65.444409,64.861519,7461.008,14.572280884,14.703237534,37.831887
Ratchet-CBC-BLAKE2s-256,encrypt,512,1048576,5,33931099.800,33607291.000,811565.216,29.471488,29.755448,16567.920,32.359218407,32.050410271,84.009475
Ratchet-CBC-BLAKE2s-256,decrypt,512,1048576,5,35875510.400,35674660.000,1149115.358,27.874168,28.031101,17517.339,34.213552856,34.022006989,88.823364
Ratchet-CBC-SHA3-256,encrypt,512,1048576,5,47507480.400,47392871.000,434951.789,21.049317,21.100220,23197.012,45.306663895,45.197363853,117.623568
Ratchet-CBC-SHA3-256,decrypt,512,1048576,5,49664933.400,48959366.000,1821611.325,20.134931,20.425101,24250.456,47.364171410,46.691289902,122.964144
Ratchet-CBC-SHA-256,encrypt,512,1048576,5,26287702.600,25860729.000,795803.315,38.040601,38.668670,12835.792,25.069906807,24.662713051,65.085356
Ratchet-CBC-SHA-256,decrypt,512,1048576,5,27191833.000,27083124.000,455287.178,36.775748,36.923362,13277.262,25.932152748,25.828479767,67.323644
AES-ECB,encrypt,512,33554432,5,40790671.800,30362403.000,22402605.121,784.493086,1053.935026,622.416,1.215656751,0.904870123,3.156067
AES-ECB,decrypt,512,33554432,5,39705377.600,39638988.000,1057520.725,805.936171,807.285998,605.856,1.183312464,1.181333899,3.072051
AES-XTS-manual-sequential,encrypt,512,33554432,5,86160697.000,86376703.000,720294.819,371.399038,370.470264,1314.708,2.567788869,2.574226350,6.666393
AES-XTS-manual-sequential,decrypt,512,33554432,5,87221131.800,86873692.000,2051556.181,366.883568,368.350870,1330.889,2.599392289,2.589037776,6.748394
AES-XTS-OpenSSL-full-sector,encrypt,512,33554432,5,43400938.000,44034073.000,2074070.688,737.311254,726.709973,662.246,1.293448746,1.312317640,3.358001
AES-XTS-OpenSSL-full-sector,decrypt,512,33554432,5,42365279.000,41581101.000,1747457.992,755.335519,769.580392,646.443,1.262583703,1.239213377,3.277848
Ratchet-CTR-AES,encrypt,512,33554432,5,293323496.400,295069555.000,11481881.625,109.094568,108.449006,4475.761,8.741721404,8.793758005,22.694763
Ratchet-CTR-AES,decrypt,512,33554432,5,304874027.000,297142844.000,16740047.440,104.961385,107.692312,4652.008,9.085954040,8.855546832,23.588410
Ratchet-CTR-BLAKE3,encrypt,512,33554432,5,512333252.600,513471665.000,13266192.164,62.459346,62.320868,7817.585,15.268720764,15.302648097,39.639774
Ratchet-CTR-BLAKE3,decrypt,512,33554432,5,508030628.000,511456463.000,6286920.912,62.988328,62.566420,7751.932,15.140492558,15.242590398,39.306835
Ratchet-CTR-BLAKE2s-256,encrypt,512,33554432,5,1126135696.800,1125666917.000,9767473.342,28.415759,28.427592,17183.467,33.561459088,33.547488362,87.130260
Ratchet-CTR-BLAKE2s-256,decrypt,512,33554432,5,1130171118.000,1123860788.000,13762188.552,28.314296,28.473277,17245.043,33.681724012,33.493661523,87.442459
Ratchet-CTR-SHA3-256,encrypt,512,33554432,5,1602127085.800,1599550837.000,23083656.368,19.973447,20.005616,24446.519,47.747107917,47.670329720,123.958181
Ratchet-CTR-SHA3-256,decrypt,512,33554432,5,1572256028.000,1568629612.000,30884151.716,20.352919,20.399972,23990.723,46.856881022,46.748805404,121.647024
Ratchet-CTR-SHA-256,encrypt,512,33554432,5,828607092.000,822456647.000,16162616.981,38.619027,38.907826,12643.541,24.694415689,24.511118144,64.110180
Ratchet-CTR-SHA-256,decrypt,512,33554432,5,830107622.400,838373079.000,30705034.370,38.549218,38.169165,12666.437,24.739134979,24.985464782,64.226262
Ratchet-CBC-AES,encrypt,512,33554432,5,263481432.800,264693041.000,2748811.874,121.450683,120.894754,4020.408,7.852358603,7.888467342,20.385858
Ratchet-CBC-AES,decrypt,512,33554432,5,270572180.800,268340280.000,5806250.164,118.267887,119.251571,4128.604,8.063679361,7.997163534,20.934442
Ratchet-CBC-BLAKE3,encrypt,512,33554432,5,506119056.000,501607694.000,11351128.592,63.226230,63.794875,7722.764,15.083523273,14.949074209,39.158969
Ratchet-CBC-BLAKE3,decrypt,512,33554432,5,499666644.200,502318571.000,7037718.959,64.042698,63.704593,7624.308,14.891226417,14.970259994,38.659712
Ratchet-CBC-BLAKE2s-256,encrypt,512,33554432,5,1096561018.800,1088808683.000,28065378.660,29.182143,29.389920,16732.193,32.680065000,32.449027389,84.842045
Ratchet-CBC-BLAKE2s-256,decrypt,512,33554432,5,1157532430.400,1148198923.000,15795870.869,27.645014,27.869735,17662.543,34.497154665,34.218994468,89.559432
Ratchet-CBC-SHA3-256,encrypt,512,33554432,5,1566685074.200,1565941838.000,38999494.083,20.425292,20.434986,23905.717,46.690853661,46.668703496,121.215987
Ratchet-CBC-SHA3-256,decrypt,512,33554432,5,1577858481.600,1569905517.000,25852075.432,20.280653,20.383392,24076.210,47.023847151,46.786830336,122.080472
Ratchet-CBC-SHA-256,encrypt,512,33554432,5,843447913.200,836037293.000,14980776.350,37.939509,38.275805,12869.994,25.136706626,24.915852934,65.258426
Ratchet-CBC-SHA-256,decrypt,512,33554432,5,887092849.600,884965911.000,16164585.550,36.072887,36.159585,13535.963,26.437427092,26.374039382,68.635254
AES-ECB,encrypt,4096,1048576,5,925280.000,855250.000,151158.104,1080.753934,1169.248758,3614.375,0.882415771,0.815629959,2.291534
